Time SB_juv_0_Migrating_Biomass(tonnes) SB_juv_0_Total_biomass(tonnes) SB_juv_0_Prop_Migrating SB_ad_0_Migrating_Biomass(tonnes) SB_ad_0_Total_biomass(tonnes) SB_ad_0_Prop_Migrating WHB_juv_0_Migrating_Biomass(tonnes) WHB_juv_0_Total_biomass(tonnes) WHB_juv_0_Prop_Migrating WHB_ad_0_Migrating_Biomass(tonnes) WHB_ad_0_Total_biomass(tonnes) WHB_ad_0_Prop_Migrating
2.700000e+01 0.000000e+00 1.083965e-01 0.000000e+00 5.412008e+01 2.766093e+01 1.956554e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.800000e+01 0.000000e+00 1.083979e-01 0.000000e+00 5.412008e+01 2.766092e+01 1.956554e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.900000e+01 0.000000e+00 1.083993e-01 0.000000e+00 5.412008e+01 2.766092e+01 1.956554e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.000000e+01 0.000000e+00 1.084007e-01 0.000000e+00 5.412008e+01 2.766092e+01 1.956554e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.100000e+01 0.000000e+00 1.084021e-01 0.000000e+00 5.412008e+01 2.766091e+01 1.956554e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.200000e+01 0.000000e+00 1.084036e-01 0.000000e+00 5.412008e+01 2.766091e+01 1.956555e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.300000e+01 0.000000e+00 1.084050e-01 0.000000e+00 5.412008e+01 2.766091e+01 1.956555e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.400000e+01 0.000000e+00 1.084065e-01 0.000000e+00 5.412008e+01 2.766091e+01 1.956555e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.500000e+01 0.000000e+00 1.084079e-01 0.000000e+00 5.412008e+01 2.766090e+01 1.956555e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.600000e+01 0.000000e+00 1.084094e-01 0.000000e+00 5.412008e+01 2.766090e+01 1.956555e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.700000e+01 0.000000e+00 1.084109e-01 0.000000e+00 5.412008e+01 2.766090e+01 1.956556e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.800000e+01 0.000000e+00 1.084123e-01 0.000000e+00 5.412008e+01 2.766089e+01 1.956556e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.900000e+01 0.000000e+00 1.084138e-01 0.000000e+00 5.412008e+01 2.766089e+01 1.956556e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.000000e+01 0.000000e+00 1.084153e-01 0.000000e+00 5.412008e+01 2.766089e+01 1.956556e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.100000e+01 0.000000e+00 1.084167e-01 0.000000e+00 5.412008e+01 2.766089e+01 1.956556e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.200000e+01 0.000000e+00 1.084182e-01 0.000000e+00 5.412008e+01 2.766088e+01 1.956557e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.300000e+01 0.000000e+00 1.084197e-01 0.000000e+00 5.412008e+01 2.766088e+01 1.956557e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.400000e+01 0.000000e+00 1.084214e-01 0.000000e+00 5.412008e+01 2.766088e+01 1.956557e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.500000e+01 0.000000e+00 1.084232e-01 0.000000e+00 5.412008e+01 2.766087e+01 1.956557e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.600000e+01 0.000000e+00 1.084251e-01 0.000000e+00 5.412008e+01 2.766087e+01 1.956557e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.700000e+01 0.000000e+00 1.084271e-01 0.000000e+00 5.412008e+01 2.766087e+01 1.956558e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.800000e+01 0.000000e+00 1.084292e-01 0.000000e+00 5.412008e+01 2.766086e+01 1.956558e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
