Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
1.000000e+01 1335.657939 475509.924764 5890.960580 47908.586447 152004.668434 27.769346 536.110108 1384.896738 756.512295 141126.358069 0.000208 0.000208 0.000208 0.000208 0.000208 5.047307 0.000208 0.000209 0.000208 0.000208 5.047144 0.770994 0.712647 5.048988 5.050086 411.256884 1.744891 0.000208 10514159.732049 41599531.214460 0.000000 4306927513.613830 0.996727 0.972890 0.998878 0.995507 0.996419 1.107966 0.999919 1.013877 1.000432 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.011999 1.001000 1.000000 2.029390 0.000053 0.000000 17.200000 0.852386 3.534672 0.000000
1.100000e+01 1335.220422 472299.769380 4641.827967 47887.058790 151950.281664 27.769345 536.105884 1384.896738 756.544391 141126.335666 0.000208 0.000208 0.000208 0.000208 0.000208 5.175314 0.000208 0.000210 0.000208 0.000208 5.175535 0.788658 0.713631 5.177134 5.178325 819.273191 4.871943 0.000208 10526620.838218 41603684.733722 0.000000 4306961002.485303 0.996400 0.966322 0.787074 0.995059 0.996063 1.107966 0.999911 1.013877 1.000474 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.013198 1.001100 1.000000 2.029406 0.000053 0.000000 17.200000 0.851844 3.566080 0.000000
1.200000e+01 1334.782874 471593.956374 4641.453924 47865.526948 151895.814473 27.769343 536.101570 1384.896738 756.576510 141126.303298 0.000208 0.000208 0.000208 0.000208 0.000208 5.278961 0.000208 0.000210 0.000208 0.000208 5.279574 0.810807 0.714680 5.280912 5.282189 1663.862610 13.852344 0.000208 10539071.675188 41607835.811941 0.000000 4306994760.898789 0.996074 0.964878 0.787010 0.994612 0.995706 1.107966 0.999903 1.013877 1.000517 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.014397 1.001200 1.000000 2.029421 0.000053 0.000000 17.200000 0.851296 3.597489 0.000000
1.300000e+01 1334.345486 470935.567185 4641.080050 47844.011743 151841.389873 27.769342 536.097256 1384.896738 756.608621 141126.262462 0.000208 0.000208 0.000208 0.000208 0.000208 5.362893 0.000208 0.000210 0.000208 0.000208 5.363882 0.838223 0.715781 5.364958 5.366312 3437.055908 40.277519 0.000208 10551492.098686 41611979.524316 0.000000 4307029087.032574 0.995747 0.963531 0.786947 0.994165 0.995349 1.107966 0.999895 1.013877 1.000559 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.015592 1.001299 1.000000 2.029438 0.000053 0.000000 17.200000 0.850743 3.628888 0.000000
1.400000e+01 1333.908266 470319.724006 4640.706347 47822.513157 151787.007796 27.769340 536.092941 1384.896738 756.640725 141126.213321 0.000208 0.000208 0.000208 0.000208 0.000208 5.430860 0.000208 0.000210 0.000208 0.000208 5.432206 0.872185 0.716939 5.433025 5.434447 7212.672482 118.861829 0.000208 10563822.034587 41616101.128848 0.000000 4307064780.345966 0.995421 0.962271 0.786884 0.993718 0.994993 1.107966 0.999887 1.013877 1.000602 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.016779 1.001398 1.000000 2.029454 0.000053 0.000000 17.200000 0.850182 3.660274 0.000000
1.500000e+01 1333.471242 469742.209868 4640.332816 47801.031186 151732.668172 27.769339 536.088625 1384.896738 756.672820 141126.156088 0.000208 0.000208 0.000208 0.000208 0.000208 5.485900 0.000208 0.000210 0.000208 0.000208 5.487577 0.914288 0.718155 5.488151 5.489632 15333.643154 352.524936 0.000208 10575884.010566 41620156.932228 0.000000 4307103657.098887 0.995095 0.961089 0.786820 0.993272 0.994636 1.107966 0.999879 1.013877 1.000644 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.017940 1.001496 1.000000 2.029473 0.000053 0.000000 17.200000 0.849615 3.691647 0.000000
1.600000e+01 1333.034474 469199.359236 4639.959455 47779.565844 151678.370934 27.769337 536.084309 1384.896738 756.704909 141126.090919 0.000208 0.000208 0.000208 0.000208 0.000208 5.530471 0.000208 0.000211 0.000208 0.000208 5.532454 0.966514 0.719433 5.532795 5.534329 32834.088382 1044.471670 0.000208 10587156.861347 41624018.121500 0.000000 4307149771.132181 0.994769 0.959978 0.786757 0.992826 0.994280 1.107966 0.999871 1.013877 1.000687 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.019025 1.001589 1.000000 2.029494 0.000053 0.000000 17.200000 0.849041 3.723001 0.000000
1.700000e+01 1332.598102 468687.969774 4639.586267 47758.117191 151624.116012 27.769336 536.079991 1384.896738 756.736989 141126.017920 0.000208 0.000208 0.000208 0.000208 0.000208 5.566565 0.000208 0.000211 0.000208 0.000208 5.568827 1.032976 0.720783 5.568953 5.570536 71174.957746 3050.412800 0.000208 10596174.496487 41627319.758251 0.000000 4307212665.541157 0.994443 0.958932 0.786694 0.992380 0.993925 1.107966 0.999863 1.013877 1.000729 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.019893 1.001668 1.000000 2.029524 0.000053 0.000000 17.200000 0.848460 3.754326 0.000000
1.800000e+01 1332.162478 468205.230638 4639.213250 47736.685369 151569.903339 27.769334 536.075674 1384.896738 756.769063 141125.937241 0.000208 0.000208 0.000208 0.000208 0.000208 5.595794 0.000208 0.000211 0.000208 0.000208 5.598310 1.119007 0.722213 5.598236 5.599872 152741.082085 8486.386172 0.000208 10599325.801670 41629147.448104 0.000000 4307311366.771599 0.994118 0.957944 0.786630 0.991935 0.993569 1.107965 0.999855 1.013877 1.000771 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.020196 1.001712 1.000000 2.029571 0.000053 0.000000 17.200000 0.847870 3.785598 0.000000
1.900000e+01 1331.727794 467735.804693 4638.841960 47715.225345 151515.537410 27.769333 536.071145 1384.896738 756.802057 141125.847176 0.000208 0.000208 0.000208 0.000208 0.000208 5.619460 0.000208 0.000211 0.000208 0.000208 5.622210 1.232279 0.723747 5.621951 5.623651 307651.953918 21209.900591 0.000208 10590071.576623 41627765.855992 0.000000 4307471336.464425 0.993794 0.956984 0.786567 0.991489 0.993213 1.107965 0.999847 1.013877 1.000815 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.019306 1.001679 1.000000 2.029646 0.000053 0.000000 17.200000 0.847269 3.816802 0.000000
2.000000e+01 1331.295624 467291.722447 4638.470841 47693.782983 151461.214057 27.769332 536.066615 1384.896738 756.835043 141125.749729 0.000208 0.000208 0.000208 0.000208 0.000208 5.638627 0.000208 0.000211 0.000208 0.000208 5.641585 1.374440 0.725361 5.641160 5.642937 566039.511820 42940.515322 0.000208 10565595.678121 41622189.845882 0.000000 4307715477.915220 0.993472 0.956075 0.786505 0.991043 0.992857 1.107965 0.999838 1.013877 1.000859 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.016950 1.001545 1.000000 2.029761 0.000053 0.000000 17.200000 0.846653 3.847826 0.000000
2.100000e+01 1330.866968 466870.867107 4638.099894 47672.358733 151406.933213 27.769330 536.062085 1384.896738 756.868021 141125.645044 0.000208 0.000208 0.000208 0.000208 0.000208 5.654151 0.000208 0.000212 0.000209 0.000208 5.657294 1.549734 0.727056 5.656718 5.658586 947879.300643 69259.295297 0.000208 10533494.249830 41614144.914130 0.000000 4308052363.127526 0.993152 0.955214 0.786442 0.990598 0.992501 1.107965 0.999830 1.013877 1.000902 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.013860 1.001351 1.000000 2.029920 0.000053 0.000000 17.200000 0.846015 3.878598 0.000000
2.200000e+01 1330.442311 466471.356924 4637.729119 47650.952801 151352.694807 27.769329 536.057554 1384.896738 756.900993 141125.533231 0.000208 0.000208 0.000208 0.000208 0.000208 5.666725 0.000208 0.000212 0.000209 0.000208 5.670031 1.765000 0.728835 5.669321 5.671288 1455624.337481 94220.304830 0.000208 10503796.482691 41606365.782335 0.000000 4308471446.749252 0.992835 0.954397 0.786379 0.990153 0.992146 1.107965 0.999821 1.013877 1.000946 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.011001 1.001164 1.000000 2.030117 0.000053 0.000000 17.200000 0.845347 3.909082 0.000000
2.300000e+01 1330.021324 466091.513062 4637.358515 47629.565033 151298.498772 27.769327 536.053023 1384.896738 756.933956 141125.414427 0.000208 0.000208 0.000208 0.000208 0.000208 5.676910 0.000208 0.000212 0.000209 0.000208 5.680360 2.031355 0.730704 5.679529 5.681599 2066611.312008 114811.645894 0.000208 10481499.984087 41600413.974531 0.000000 4308939408.660021 0.992521 0.953620 0.786316 0.989709 0.991790 1.107965 0.999813 1.013877 1.000989 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.008855 1.001021 1.000000 2.030338 0.000053 0.000000 17.200000 0.844644 3.939304 0.000000
2.400000e+01 1329.603206 465729.832635 4636.988083 47608.195085 151244.345038 27.769326 536.048491 1384.896738 756.966913 141125.288800 0.000208 0.000208 0.000208 0.000208 0.000208 5.685159 0.000208 0.000212 0.000209 0.000208 5.688737 2.362229 0.732671 5.687797 5.689969 2737814.921052 131086.489473 0.000208 10466421.766434 41596456.905421 0.000000 4309399387.108673 0.992209 0.952880 0.786253 0.989265 0.991435 1.107965 0.999804 1.013877 1.001033 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.007404 1.000926 1.000000 2.030554 0.000053 0.000000 17.200000 0.843908 3.969319 0.000000
